# Gennaio
"Quest'anno, come sempre, la tua occasione migliore sei tu.","Lorenzo Paoli","Coach, esperto di abitudini"
"La pace viene da dentro, non cercarla fuori. Se non è dentro, non potrai trovarla da nessuna altra parte.","Buddha","Monaco, filosofo, mistico indiano 566 a.C. - 486 a.C"
"Ciascuno di noi è portatore di punti di vista, non di assolute verità.","",""
"Ho un nuovo obiettivo nella vita: imparare a pensare di più a me e fregarmene di quello che pensano gli altri.","",""
"Uno degli errori che facciamo più spesso è quello di vedere le persone come vogliamo noi e non come sono davvero.","",""
"I bambini sanno qualcosa he la maggior parte della gente ha dimenticato.","Keith Haring","Pittore e writer statunitense 4/5/1958 - 16/2/1990"
"Concediti un attimo di tranquillità e comprenderai quanto tutto il tuo agitarti sia inutile. Impara a rimanere in silenzio e ti accorgerai di aver parlato troppo. Sii gentile e ti renderai conto di aver giudicato gli altri con eccessiva severità.","Proverbio cinese",""
"Quando scegliamo di far dipendere la nostra felicità da ciò che fanno o non fanno gli altri stiamo creando le premesse per una vita infelice.","Lorenzo Capuano","Scrittore"
"Abbi fiducia in ciò che sei dentro: solitamente è giusto","",""
"Ci si abitua a tutto. A essere forti. A essere soli. A essere forti da soli.","G. Gaetani",""
"Sai perché a volte si rimane delusi? Perché crediamo che gli altri siano disposti a fare quello che faremmo noi per loro...","",""
"Ci sono infinite possibilità davanti a ognuno di noi. Perché ci concentriamo sempre sulla cosa peggiore che possa capitare?","spiritualitatradotta.it",""
"Prima o poi arriva il punto in cui il punto lo metti tu","",""
"Le emozioni inespresse non moriranno mai. Sono sepolte vive e, se non le esprimi, usciranno più avanti in un modo peggiore.","Sigmund Freud","Neurologo e psicoanalista austriaco 6/5/1856 - 23/9/1939"
"Non sempre posso fare le cose che amo. Ma posso scegliere, sempre, di fare con amore le cose che faccio. E questo, spesso, fa la differenza.","",""
